Product Name,Type,Tags,Price,Description,Serving Info,THC Dosage,Cannabinoids,Ingredients,Short Description,Shipping Restrictions
5mg THC Beverage Variety Pack,Beverages,"Beverages, CBD, NoShip_California, NoShip_Vermont, THC, Vibe",23.99,5mg of hemp-derived THC per can 5mg of clean craft CBD per can Low or no calorie Made with organic ingredients Sweetened with organic blue agave Preservative-free No artificial flavors or colors,Serving size = 1 can,5mg,THC,"Carbonated Water, Organic Agave, Citric Acid, Natural Flavors, Natural Colors, Hemp Extract","Upstate’s 5mg THC Beverage Variety Pack gives you four doses of fun with zero guilt – nothing artificial, just 5mg each of craft THC and CBD, plus natural flavors in four varieties of perfectly elevated seltzers and sodas.","Not available to ship to VT and CA, including local pickup."
Day & Night Bundle,Tinctures,"Bundles, CBD, CBG, CBN, NoShip_California, NoTHC",94.98,Calming craft CBD Preservative-free No artificial flavors or colors USDA certified organic (Organic CBD+CBG Hemp Extract) CBG for a soothing mood boost (Organic CBD+CBG Hemp Extract) CBN for deep full body relaxation (Deep Calm Peppermint Hemp Extract) Made with organic ingredients (Deep Calm Peppermint Hemp Extract),30ml: 50mg per serving; 1500mg Cannabinoids per 30ml bottle,,"CBD
CBG
CBN","ASDF 1:1 Organic CBD+CBG Hemp Extract:  Organic Coconut Fractionated Medium Chain Triglycerides, Organic Full Spectrum Hemp Extract Deep Calm CBN+CBG+CBD Organic Peppermint Hemp Extract:  Organic Full Spectrum Hemp Extract, Organic Fractionated Coconut Medium-Chain Triglycerides, Organic Peppermint Oil",Upstate's Day & Night Bundle includes our best-selling  1:1 Organic CBD+CBG Hemp Extract and Deep Calm CBN+CBG+CBD Organic Peppermint Hemp Extract.,"Not available to ship to CA, including local pickup."
CBD+CBG Yuzu Lemonade Spritz,Beverages,"Beverages, CBD, CBG, Focus, NoTHC",24.99,"Fast-acting CBD and CBG, free from THC Magnesium L-Threonate supports brain health and focus* GABA helps reduce racing thoughts and balance mood L-Theanine helps calm nerves and promote relaxation Preservative-free No artificial flavors or colors","12oz. (355ml); 5mg CBD, 5mg CBG",,"CBG
CBD","Carbonated water, sicilian lemon puree, organic agave, monk fruit extract, allulose, natural yuzu flavor, GABA, L-theanine, magnesium L-threonate, potassium, sodium, hemp extract","Our Yuzu Lemonade Spritz’s calming blend of CBD, CBG, Magnesium, GABA and L-Theanine levels your vibe, while its bright, tart, slightly sour yuzu flavor gives a boost to the rest of you.",
10mg Yuzu Lemonade Spritz,Beverages,"Beverages, New, NoShip_California, NoShip_Vermont, THC",27.99,"10mg straight-from-the-plant, hemp-derived THC Just 20 calories, sweetened only with organic blue agave Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!","Contains two, 5mg THC servings per can.",10mg,THC,"Carbonated water, Sicilian lemon puree, Organic agave, Monk Fruit Extract, Allulose, Natural Yuzu Flavor, GABA, L-Theanine, Magnesium L-Threonate, Potassium, Sodium, Hemp Extract","Find balance with our adaptogen-rich Yuzu Lemonade THC Spritz. 10mg of THC joins with leveling adaptogens and bright, tart yuzu flavors for a uniquely energizing pro-social refresher.","Not available to ship to VT and CA, including local pickup."
100mg Organic Full Spectrum Raw CBDA+CBD Capsules,Capsules,"Capsules, CBD, CBDA, NoShip_California, NoTHC, Relief",99.99,"USDA certified organic Calming, full spectrum CBD Full-Spectrum Raw CBDA for digestive and wellness support Preservative-free No artificial flavors or colors","(30 ct) 100mg per capsule, 30 capsules per bottle (3000mg total cannabinoids)  (2ct) 100mg per capsule, 2 capsules per sample pack (200mg total cannabinoids)",,"CBD
CBDA","Organic coconut oil, organic full spectrum hemp extract, vegetarian capsules. *Note: The shade of the CBD oil in our capsules may vary by batch due to slight differences in the production process. Every batch is 3rd party lab tested for quality and consistency.",Upstate Elevator’s 100mg USDA Certified Organic Raw CBDA+CBD capsules are the strongest full spectrum CBD capsules you’ll find in America. >,"Not available to ship to CA, including local pickup."
60mg Deep Calm CBN+CBD Raspberry Gummies,Gummies,"Calm, CBD, CBN, Gummies, NoTHC, Sleep",54.99,"Calming CBD, free from THC CBN for deep full body relaxation Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors",(30ct) 50mg CBD and 10mg CBN per gummy;  30 gummies per bottle  (2ct) 50mg CBD and 10mg CBN per gummy;  2 gummies per sample pack,,"CBD
CBN","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.","Take it down a notch with our Upstate Elevator Supply Co. Deep Calm gummies. With 50mg of CBD and 10mg of CBN in each tart raspberry gummy, it’s the perfect wind-down after a long day, week or even month.",
3mg THC Green Mango Seltzer,Beverages,"Beverages, CBD, NoShip_California, NoShip_Vermont, THC",19.99,"3mg each of hemp-derived THC and CBD Zero calories, sweetened only with organic blue agave Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!",Serving size = 1 can,3mg,"CBD
THC","Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Stay sharp with Upstate’s 3mg Green Mango THC Seltzer! Tart green mango flavor is sweetened with 1g of organic blue agave, then boosted with 3mg each of our hemp-derived THC and CBD.","Not available to ship to VT and CA, including local pickup."
3mg THC Zesty Lime Ginger Ale,Beverages,"Beverages, CBD, NoShip_California, NoShip_Vermont, THC, vibe",19.99,"3mg each of hemp-derived THC and CBD Just 50 calories per can, ⅓ of a typical soda Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!",Serving size = 1 can,3mg,"CBD
THC","Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Upstate’s 3mg Zesty Lime THC Ginger Ale is your new after work lift. A sharp, citrus-spiked take on a classic ginger ale with 3mg each of hemp-derived THC and CBD for a tingly body boost.","Not available to ship to VT and CA, including local pickup."
3mg THC Blackberry Zinger Soda,Beverages,"Beverages, CBD, NoShip_California, NoShip_Vermont, THC",19.99,"3mg each of hemp-derived THC and CBD 90 calories per can, way lower than most sodas Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!",Serving size = 1 can,3mg,"CBD
THC","Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Our 3mg Blackberry Zinger THC Soda combines zesty orange with tart blackberry flavor on top of a healthy 3mg each of clean, hemp-derived THC and CBD for a sunny, alcohol-free social high.","Not available to ship to VT and CA, including local pickup."
3mg THC Raspberry Hibiscus Lime Seltzer,Beverages,"Beverages, CBD, NoShip_California, NoShip_Vermont, THC",19.99,"3mg each of hemp-derived THC and CBD Zero calories, zero sugar, zero guilt Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!",Serving size = 1 can,3mg,"CBD
THC","Carbonated water, citric acid, natural flavors, hemp extract","Take to the tropics with Upstate’s Raspberry Hibiscus THC Seltzer. Juicy raspberry flavors, exotic floral notes and 3mg each of THC and CBD create a truly lanai-worthy beverage.","Not available to ship to VT and CA, including local pickup."
Mind & Body THC Gummy Bundle,Gummies,"Bundles, Gummies, NoShip_California, NoShip_Vermont, THC, Vibe",35.99,"Clean, hemp-derived THC Straight-from-the-plant terpenes Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors","Serving Size: 1 Wedge, Servings per container: 25",,THC,"Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.",Hard deciding between a deep body high and a euphoric head high? Don’t choose! Get our Blackberry Indica and Sour Starfruit Sativa gummy pucks together for whichever elevation you’re hitting.,"Not available to ship to VT and CA, including local pickup."
Lights Out THC Gummy Bundle,Gummies,"Bundles, CBD, CBN, Gummies, NoShip_California, NoShip_Vermont, Sleep, THC, Vibe",62.99,"Natural, hemp-derived THC Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors Deeply relaxing CBN (Raspberry and Passion Fruit) Clean, calming CBD (Raspberry) Indica terpenes (Blackberry)","Blackberry Indica THC Gummies: Serving Size: 1 Wedge, Servings per container: 25 Raspberry THC+CBN+CBD Gummies: Serving Size: 1 Wedge, Servings per container: 25 Passion Fruit THC+CBN Gummies: Serving Size: 1 Gummy, Servings per container: 20",,"CBD
CBN
THC","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.","The Lights Out THC Gummy Bundle from Upstate Elevator combines the soothing, restful effects of our Raspberry, Passion Fruit, and Blackberry gummies, each infused with a unique blend of THC, CBD, and CBN.","Not available to ship to VT and CA, including local pickup."
Sweet Sampler THC Gummy Bundle ,Gummies,"Bundles, Gummies, NoShip_California, NoShip_Minnesota, NoShip_Vermont, THC, Vibe",71.99,"Natural, hemp-derived THC Deeply relaxing CBN (Raspberry) Uplifting THCV (Strawberry Lemonade) Natural terpenes (Blackberry + Sour Starfruit) Pre-scored microdosable wedges Preservative-free No artificial flavors or colors","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.",,"CBD
CBG
CBN
THC
THCv","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.","Enjoy this veritable fruit salad bundle of our juiciest, tastiest THC gummies! Whether it’s relaxation, rest, relief, or just a mood boost, the Sweet Sampler THC Gummy Bundle has something for all your needs.","Not available to ship to VT, MN and CA, including local pickup."
THC-Free All Day Calm Bundle,Bundles,"Bundles, CBD, CBN, NoTHC",85.49,"Calming CBD, free from THC Made with organic ingredients Preservative-free No artificial flavors or colors USDA certified organic (THC Free MCT Oil) MCT oil base for easy blending (THC Free MCT Oil) CBN for deep full body relaxation (Deep Calm Gummies)","THC-Free MCT Oil: 30ml: 50mg per serving; 1500mg CBD per 30ml bottle Deep Calm CBN+CBD Gummies: 1 serving = 1 gummy (50mg CBD, 10mg CBN)",,"CBD
CBN","THC-Free MCT Oil: Organic Coconut Fractionated Medium Chain Triglycerides, Organic CBD Isolate Deep Calm CBN+CBD Gummies: Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.*THC Free means trace amounts less than 0.01% or 100ppm.","Keep an extended chill about you with our All Day Calm Bundle. Pure CBD isolate for daytime calm in our THC Free MCT Oil, and CBD + CBN in our Deep Calm gummies for relaxing, couchbound winddowns.",
Happy Paws CBD Bundle,Pets,"Bundles, CBD, NoShip_California, NoTHC, Pets",35.99,Calming CBD hemp extract Nutrient-rich hemp meal and hemp seed oil (Joint Bites) Glucosamine HCI to promote joint health (Joint Bites) Alaskan salmon oil promotes healthier skin and coat (Joint Bites) Lemon balm to soothe high-strung animals (Calm Bites) L-theanine to promote sense of calm (Calm Bites),Dogs: Up to 25lbs (½ chew daily); 26-50lbs (1 chew daily); 51-75lbs (2 chews daily); Over 75lbs (3 chews daily) Cats: ½ chew daily. For cats that are finicky eaters break chew into smaller pieces,,CBD,"Hemp Chewy Joint Bites for Pets: Active Ingredients Per Chew (3.5 g): 500mg Glucosamine HCl (Shrimp & Crab), 250mg Methylsulfonylmethane (MSM), 50mg Chondroitin Sulfate (Porcine), 20mg Omega 3 Fatty Acids (from Alaskan Salmon Oil), 15mg Boswellia serrata, 5mg Hyaluronic Acid (HA, Hyamax), 4.23mg Hemp Oil (Aerial parts) yielding 2.5 mg CBD. Inactive Ingredients: arabic gum, brewer’s yeast, calcium sulfate, canola oil, chicken liver flavor, citrus pectin, coconut oil, glycerin, maltodextrin, mixed tocopherols, oat flour, propionic acid, rosemary extract, sodium alginate, sorbic acid, sunflower lecithin, sunflower oil. Hemp Chewy Calm Bites for Pets: Active Ingredients Per Chew: 20mg L-Theanine (Suntheanine brand), 10mg Lemon Balm (Melissa officinalis), 4.23mg Hemp Oil (Aerial parts) contains 2.5 mg naturally occurring CBD. Inactive Ingredients: arabic gum, brewer’s yeast, calcium sulfate, canola oil, chicken liver flavor,citrus pectin, coconut oil, glycerin, maltodextrin, mixed tocopherols, oat flour, propionic acid, rosemary extract, sodium alginate, sorbic acid, sunflower lecithin, sunflower oil.","Spread self-care to your furry friends with our Happy Paws Bundle. With Hemp Chewy Joint Bites for playdate recovery and Hemp Chewy Calm Bites for taking things down a notch, we’ve got Scruffy and Whiskers covered.",
AM/PM CBD Gummy Bundle,Gummies,"Bundles, CBD, CBG, CBN, Gummies, NoShip_California, NoTHC",94.49,Calming craft CBD USDA certified organic (Tart Berry Lemonade Gummies) CBG for a soothing mood boost (Tart Berry Lemonade Gummies) CBN for deep full body relaxation (Deep Calm Gummies) Preservative-free No artificial flavors or colors,"30mg Tart Berry Lemonade CBG+CBD Gummies: 1 gummy = 1 serving (15mg CBD, 15mg CBG) 60mg Deep Calm CBN+CBD Gummies: 1 gummy = 1 serving (10mg CBD, 50mg CBN)",,"CBD
CBG
CBN","30mg Tart Berry Lemonade CBG+CBD Gummies: Organic tapioca syrup, organic sugar, water, pectin, organic strawberry lemonade flavoring, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic hibiscus juice concentrate.  60mg Deep Calm CBN+CBD Gummies: Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.",Rise and shine or stop and drop; our AM/PM Bundle has you covered either way. Our Tart Berry Lemonade CBG+CBD gummies give you the boost you need in the morning while Deep Calm CBN+CBD gummies wind things down after a full day.,"Not available to ship to CA, including local pickup."
Serious Serenity CBD Gummy Bundle,Gummies,"Bundles, CBD, CBN, Gummies, NoTHC, Sleep",85.49,Calming craft CBD CBN for deep full body relaxation Natural sleep aid melatonin (Deeper Dreams Gummies) Preservative-free No artificial flavors or colors Made with organic ingredients,"15mg Deeper Dreams CBN+CBD Gummies: 1 gummy = 1 serving (10mg CBD, 5mg CBN, 5mg melatonin) 60mg Deep Calm CBN+CBD Gummies: 1 gummy = 1 serving (10mg CBD, 50mg CBN)",,"CBD
CBN","15mg Deeper Dreams CBN+CBD Gummies: Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color, melatonin. 60mg Deep Calm CBN+CBD Gummies: Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.",There’s calm and then there’s callllllm. Get both with our Serious Serenity CBD Gummy Bundle: Deep Calm CBN+CBD gummies for after-work chill and Deeper Dreams CBN+CBD gummies with melatonin for help with the after-after-work slumber you seek!,
Happy Days & Dreamy Nights THC Gummy Bundle ,Gummies,"Bundles, CBD, CBG, CBN, Gummies, NoShip_California, NoShip_Minnesota, NoShip_Vermont, THC, THCv, Vibe",35.99,10mg straight-from-the-plant THC Mood-boosting CBG (Strawberry Lemonade) Uplifting THCV (Strawberry Lemonade) 5mg deeply relaxing CBN (Raspberry) 5mg calming CBD (Raspberry) Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,,,"CBD
CBG
CBN
THC
THCv","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.",Bundle up for a complete day! Our Happy Days & Dreamy Nights THC Gummy Bundle includes our new 50mg THC+CBD+CBN Raspberry Gummies for the perfect nighttime chill and 50mg THC+CBG+THCv Strawberry Lemonade Gummies for the jumpstart your mood needs.,"Not available to ship to VT, MN and CA, including local pickup."
50mg THC Sativa Sour Starfruit Gummies,Gummies,"Gummies, NoShip_California, NoShip_Vermont, THC",19.99,Straight-from-the-plant THC Sativa terpenes Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,"Serving Size: 1 Wedge, Servings per container: 25",10mg,THC,"Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.","Get ALL the way up with Upstate’s Sour Starfruit sativa gummy pucks. 10mg of craft THC in each 5-dose puck, plus natural, straight-from-the-plant sativa terpenes for extra elevation.","Not available to ship to VT and CA, including local pickup."
50mg THC Indica Blackberry Gummies,Gummies,"Gummies, NoShip_California, NoShip_Vermont, Sleep, THC",19.99,Straight-from-the-plant THC Indica terpenes Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,"Serving Size: 1 Wedge, Servings per container: 25",10mg,THC,"Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.","Straight from the bramble patch come Upstate’s Blackberry indica gummy pucks. Each one is filled with 10mg of clean craft THC and plant-sourced indica terpenes, then divided into 5 microdosable portions.","Not available to ship to VT and CA, including local pickup."
50mg THC + CBD + CBN Raspberry Gummies,Gummies,"CBD, CBN, Gummies, NoShip_California, NoShip_Vermont, Sleep, THC",19.99,10mg straight-from-the-plant THC 5mg deeply relaxing CBN 5mg calming CBD Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,"5mg CBN, 5mg CBD, and 10mg THC",10mg,"CBD
CBN
THC","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.","Get that Rip Van Winkle rest with Upstate’s Raspberry gummy pucks, each filled with 10mg of THC and 5mg each of CBD and CBN for nighttime relaxation, easily divided into 2mg microdosable wedges","Not available to ship to VT and CA, including local pickup."
50mg THC + CBG + THCV Strawberry Lemonade Gummies,Gummies,"CBG, Gummies, NoShip_California, NoShip_Minnesota, NoShip_Vermont, THC, THCv",19.99,Straight-from-the-plant THC Mood-boosting CBG Uplifting THCV Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,"5mg THCV, 5mg CBG, and 10mg THC",10mg,"CBG
THC
THCv","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.",Get that summer vibe anytime with Upstate’s Strawberry Lemonade gummy pucks. 10mg of THC pairs with 5mg each of mood-boosting CBG and THCV in each puck – dividable into microdosable 2mg wedges.,"Not available to ship to VT, MN and CA, including local pickup."
10mg THC Passion Fruit Seltzer,Beverages,"Beverages, NoShip_California, NoShip_Vermont, THC, Vibe",27.99,"10mg straight-from-the-plant, hemp-derived THC Zero calories, sweetened only with organic blue agave Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!","Contains two, 5mg THC servings per can.",10mg,THC,"Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Upstate’s 10mg Passion Fruit THC Seltzer has zero artificial ingredients, just natural passion fruit flavors and 10mg of fast-acting THC for a guilt-free trip to the treetops.","Not available to ship to VT and CA, including local pickup."
10mg THC Blackberry Zinger Soda,Beverages,"Beverages, NoShip_California, NoShip_Vermont, THC",27.99,"10mg straight-from-the-plant, hemp-derived THC 90 calories per can, way lower than most sodas Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!","Contains two, 5mg THC servings per can.",10mg,THC,"Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Our 10mg Blackberry Zinger THC Soda combines zesty orange with tart blackberry flavor on top of a healthy 10mg of clean, hemp-derived THC for a sunny, alcohol-free social high.","Not available to ship to VT and CA, including local pickup."
10mg THC Orange Pop Soda,Beverages,"Beverages, NoShip_California, NoShip_Vermont, THC, Vibe",27.99,"10mg straight-from-the-plant, hemp-derived THC 100 calories per can, 1/3 lower than most sodas Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!","Contains two, 5mg THC servings per can.",10mg,THC,"Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Upstate’s 10mg Orange Pop THC Soda is a classic, crushable orange treat spiked with a 10mg kick of fast-acting, hemp-derived THC, and no artificial ingredients for a hangover-free lift.","Not available to ship to VT and CA, including local pickup."
1mg THC Green Mango Seltzer,Beverages,"Beverages, CBD, NoShip_California, THC",19.99,"1mg of hemp-derived THC and 15mg CBD Zero calories, sweetened only with organic blue agave Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!",Serving size = 1 can,1mg,"CBD
THC","Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Stay sharp with Upstate’s 1mg Green Mango THC Seltzer! Tart green mango flavor is sweetened with 1g of organic blue agave, then boosted with 1mg of hemp-derived THC and 15mg CBD.",Not available to ship to CA.
Day & Night THC Gummy Bundle ,Gummies,"Bundles, CBN, Gummies, NoShip_California, NoShip_Minnesota, NoShip_Vermont, Relief, THC, THCv",53.99,5mg straight-from-the-plant THC 5mgUplifting THCV (Sour Kiwi) 5mg deeply relaxing CBN (Passion Fruit) Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,,,"CBN
THC
THCv","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.","The perfect pair for 24-hour coverage, lift yourself up with our THC+THCV Sour Kiwi gummies, and unwind after anything with our THC+CBN Passion Fruit gummies.","Not available to ship to VT, MN and CA, including local pickup."
5mg THC + 2.5mg THCV Sour Kiwi Gummies,Gummies,"Gummies, NoShip_California, NoShip_Minnesota, NoShip_Vermont, THC, THCv, Vibe",29.99,5mg straight-from-the-plant THC  2.5mg of uplifting THCV  Fast-acting  Made with organic ingredients  Preservative-free  No artificial flavors or colors,5mg THCV; 5mg THC,5mg,"THC
THCv","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.","Take things up a notch with Upstate’s THC+THCv Sour Kiwi gummies. Each gummy delivers 5mg of clean, plant-derived THC and 2.5mg of energizing THCv, for a fast-acting metaphysical lift.","Not available to ship to VT, MN and CA, including local pickup."
5mg THC + 5mg CBN Passion Fruit Gummies,Gummies,"CBN, Gummies, NoShip_California, NoShip_Vermont, Sleep, THC",29.99,5mg straight-from-the-plant THC 5mg deeply relaxing CBN Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,5mg CBN; 5mg THC,5mg,"CBN
THC","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.",Find the Z’s you needz with Upstate’s THC+CBN Passion Fruit gummies. Each one serves up 5mg each of potent THC and snoozy CBN for those nights when your heads can’t meet your pillow fast enough.,"Not available to ship to VT and CA, including local pickup."
"CBD Gummy Sample Pack Bundle - 15mg, 30mg, 60mg",Gummies,"Bundles, CBD, CBG, CBN, Gummies, NoShip_California, NoTHC",14.99,"Clean-crafted, calming CBD CBG for a soothing mood boost (Tart Berry Lemonade) Deeply relaxing CBN (Deep Calm and Deeper Dreams) Uplifting, hemp-derived THC (Tropical Sunrise) Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors",,,"CBD
CBG
CBN
THC","15mg Deeper Dreams CBN+CBD Gummies: Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color, Melatonin  15mg Tropical Sunrise THC+CBD Gummies: Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.  30mg Tart Berry CBG+CBD Gummies: Organic Tapioca Syrup, Organic Sugar, Water, Pectin, Organic Strawberry Lemonade Flavoring, Organic Citric Acid, Sodium Citrate, Organic Fractionated Coconut Medium Chain Triglycerides, Organic Hibiscus Juice Concentrate  60mg Deep Calm CBN+CBD Gummies: Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.","Need help choosing? Get a 2-count each of our 15mg Deeper Dreams CBN+CBD Gummies, 15mg Tropical Sunrise THC+CBD Gummies, 30mg Tart Berry Lemonade CBG+CBD Gummies, and 60mg Deep Calm CBN+CBD Gummies.","Not available to ship to CA, including local pickup."
